,Project Name,Neighborhood,Zip Code,TtlProjUnits,RentUnits,OwnUnits,TtlMarket,MarketRent,MarketOwn,Total Income-Restricted,Income-Restricted Rental,Income-Restricted Ownership,Tenure,Public/ Private,Includes Senior Units?,Section 8,geo_input,address_candidates
897,The Macallen,South Boston,2127,144,0,144,124.0,0.0,124.0,20,0,20.0,Ownership,Private,,,The Macallen South Boston,"['141 Dorchester Ave, Boston, MA 02127, United States']"
898,The Mark at DeNormanie Wharf,East Boston,2128,107,0,107,101.0,0.0,101.0,6,0,6.0,Ownership,Private,,,The Mark at DeNormanie Wharf East Boston,"['99 Sumner St, Boston, MA 02128, United States']"
899,The Melnea (Parcel 9/Residential),Roxbury,2119,50,50,0,43.0,43.0,0.0,7,7,0.0,Rental,Private,,,The Melnea (Parcel 9/Residential) Roxbury,"['431 Melnea Cass Blvd, Boston, MA 02119, United States']"
900,The Metropolitan,Chinatown,2111,251,133,118,136.0,52.0,84.0,115,81,34.0,Ownership/Rental,Private,,Y,The Metropolitan Chinatown,"['1 Nassau St, Boston, MA 02111, United States']"
901,The Modern,Roxbury,2118,62,0,62,53.0,0.0,53.0,9,0,9.0,Ownership,Private,,,The Modern Roxbury,"['17 Station St, Brookline, MA 02445, United States']"
902,The Mt Vernon,Allston,2134,7,7,0,5.0,5.0,0.0,2,2,0.0,Rental,Private,,,The Mt Vernon Allston,"['1200 Soldiers Field Rd suite 102, Boston, MA 02134, United States']"
903,The Nautica,Charlestown,2129,117,0,117,105.0,0.0,105.0,12,0,12.0,Ownership,Private,,,The Nautica Charlestown,"['88 Constitution Rd, Boston, MA 02129, United States']"
904,The Pierce,Fenway,2215,349,240,109,307.0,68.0,239.0,42,41,1.0,Ownership/Rental,Private,,,The Pierce Fenway,"['200 Brookline Ave, Boston, MA 02215, United States']"
905,The Radian,Chinatown,2111,240,240,0,235.0,235.0,0.0,5,5,0.0,Rental,Private,,,The Radian Chinatown,"['120 Kingston St, Boston, MA 02111, United States']"
906,The Residences At Forest Hills,Jamaica Plain,2130,250,250,0,200.0,200.0,0.0,50,50,0.0,Rental,Private,,,The Residences At Forest Hills Jamaica Plain,"['199 Forest Hills St, Boston, MA 02130, United States']"
907,The Residences at St. Augustine,South Boston,2127,29,0,29,25.0,0.0,25.0,4,0,4.0,Ownership,Private,,,The Residences at St. Augustine South Boston,"['39 A St, Boston, MA 02127, United States']"
908,The Residences at West Broadway,South Boston,2127,139,139,0,122.0,122.0,0.0,17,17,0.0,Rental,Private,,,The Residences at West Broadway South Boston,"['50 W Broadway, Boston, MA 02127, United States']"
909,The Residences on E,South Boston,2127,34,0,34,30.0,0.0,30.0,4,0,4.0,Ownership,Private,,,The Residences on E South Boston,"['50 W Broadway, Boston, MA 02127, United States']"
910,The Seville Boston Harbor,East Boston,2128,66,0,66,58.0,0.0,58.0,8,0,8.0,Ownership,Private,,,The Seville Boston Harbor East Boston,"['250 Meridian St, Boston, MA 02128, United States']"
911,The Stearns,Downtown,2111,140,140,0,1.0,1.0,0.0,139,139,0.0,Rental,Private,Y,Y,The Stearns Downtown,"['10 Temple Pl, Boston, MA 02111, United States']"
912,The Sudbury [Govt Center Garage Rental],Downtown,2114,368,368,0,305.0,305.0,0.0,63,63,0.0,Rental,Private,,,The Sudbury [Govt Center Garage Rental] Downtown,"['125 Bowker St, Boston, MA 02114, United States']"
913,The Tremont,Mission Hill,2120,66,66,0,65.0,65.0,0.0,1,1,0.0,Rental,Private,,,The Tremont Mission Hill,"['1480-1482 Tremont St, Boston, MA 02120, United States']"
914,Theroch,Roxbury,2121,222,222,0,31.0,31.0,0.0,191,191,0.0,Rental,Private,,Y,Theroch Roxbury,"['133 Columbia Rd, Boston, MA 02121, United States']"
915,Thetford-Dyer Neighborhood Homes,Dorchester,2124,16,7,9,6.0,6.0,0.0,10,4,6.0,Ownership/Rental,Private,,,Thetford-Dyer Neighborhood Homes Dorchester,"['748A Adams St, Boston, MA 02122, United States']"
916,Torre Unidad (2-49),South End,2118,201,201,0,0.0,0.0,0.0,201,201,0.0,Rental,Public,Y,,Torre Unidad (2-49) South End,"['80 W Dedham St, Boston, MA 02118, United States']"
917,Townhouses at Glenwood,Hyde Park,2136,19,0,19,17.0,0.0,17.0,2,0,2.0,Rental,Private,?,,Townhouses at Glenwood Hyde Park,"['400 Georgetowne Dr, Hyde Park, MA 02136, United States']"
918,Townhouses at Neponset River,Hyde Park,2136,16,0,16,14.0,0.0,14.0,2,0,2.0,Ownership,Private,,,Townhouses at Neponset River Hyde Park,"['29 Neponset Field Ln, Hyde Park, MA 02136, United States']"
919,Treadmark,Dorchester,2124,83,51,32,28.0,0.0,28.0,55,51,4.0,Ownership/Rental,Private,,,Treadmark Dorchester,"['1971-1977 Dorchester Ave, Boston, MA 02124, United States']"
920,Tremont Houses,Roxbury,2118,23,23,0,0.0,0.0,0.0,23,23,0.0,Rental,Private,,,Tremont Houses Roxbury,"['1480-1482 Tremont St, Boston, MA 02120, United States']"
921,Trilogy Residential,Fenway,2215,534,534,0,475.0,475.0,0.0,59,59,0.0,Rental,Private,,,Trilogy Residential Fenway,"['Fenway Triangle Trilogy, 170 Brookline Ave, Boston, MA 02215, United States']"
922,Trinity Neighborhood House,East Boston,2128,16,16,0,0.0,0.0,0.0,16,16,0.0,Rental,Private,?,,Trinity Neighborhood House East Boston,"['406 Meridian St, Boston, MA 02128, United States']"
923,Trinity Terrace,Dorchester,2121,62,62,0,0.0,0.0,0.0,62,62,0.0,Rental,Private,,,Trinity Terrace Dorchester,"['Trinity Terrace, Boston, MA 02121, USA']"
924,Trolley House Condos,South Boston,2127,25,0,25,23.0,0.0,23.0,2,0,2.0,Ownership,Private,,,Trolley House Condos South Boston,"['335 W 2nd St, Boston, MA 02127, United States']"
925,Troy Boston,South End,2118,378,378,0,340.0,340.0,0.0,38,38,0.0,Rental,Private,,,Troy Boston South End,"['55 Traveler St, Boston, MA 02118, United States']"
926,Trull/Ware Homes,Dorchester,2125,4,1,3,0.0,0.0,0.0,4,1,3.0,Ownership/Rental,Private,,,Trull/Ware Homes Dorchester,"['Boston, MA 02125, United States']"
927,Twenty at Luma,Roxbury,2119,20,0,20,0.0,0.0,0.0,20,0,20.0,Ownership,Private,,,Twenty at Luma Roxbury,"['906 Albany St, Boston, MA 02119, United States']"
928,UE Apartments,Jamaica Plain,2130,82,82,0,0.0,0.0,0.0,82,82,0.0,Rental,Private,Y,,UE Apartments Jamaica Plain,"['3200 Washington St, Jamaica Plain, MA 02130, United States']"
929,UE Dixwell Park,Jamaica Plain,2119,33,33,0,0.0,0.0,0.0,33,33,0.0,Rental,Private,,,UE Dixwell Park Jamaica Plain,"['Parking lot, Boston, MA 02130, United States']"
930,Uhomes,Brighton,2134,20,0,20,8.0,0.0,8.0,12,0,12.0,Ownership,Private,,,Uhomes Brighton,"['90 Antwerp St, Boston, MA 02135, United States']"
931,Ulin House,Brighton,2135,242,242,0,0.0,0.0,0.0,242,242,0.0,Rental,Private,Y,Y,Ulin House Brighton,"['Boston, MA 02135, United States']"
932,Uphams Corner Market Residential and Elderhouse,Dorchester,2125,45,45,0,1.0,1.0,0.0,44,44,0.0,Rental,Private,Y,,Uphams Corner Market Residential and Elderhouse Dorchester,"['Boston, MA 02125, United States']"
933,Uphams Corner/Red Hazel Apts,Dorchester,2125,36,36,0,0.0,0.0,0.0,36,36,0.0,Rental,Private,,Y,Uphams Corner/Red Hazel Apts Dorchester,"['530 Columbia Rd, Boston, MA 02125, United States']"
934,Uphams West,Roxbury,2125,13,13,0,0.0,0.0,0.0,13,13,0.0,Rental,Private,,,Uphams West Roxbury,"[""Upham's Corner, Boston, MA, USA""]"
935,Upton Street Lodging House,South End,2136,19,19,0,1.0,1.0,0.0,18,18,0.0,Rental,Private,,,Upton Street Lodging House South End,"['592 Tremont St, Boston, MA 02118, United States']"
936,Upton Street Lodging House Units,South End,2118,19,19,0,1.0,1.0,0.0,18,18,0.0,Rental,Private,,,Upton Street Lodging House Units South End,"['592 Tremont St, Boston, MA 02118, United States']"
937,Urbanica 691,Roxbury,2118,40,0,40,38.0,0.0,38.0,2,0,2.0,Ownership,Private,,,Urbanica 691 Roxbury,"['142 Berkeley St, Boston, MA 02116, United States']"
938,Urbanica Highland Park (E+),Roxbury,2119,4,0,4,3.0,0.0,3.0,1,0,1.0,Ownership,Private,,,Urbanica Highland Park (E+) Roxbury,"['142 Berkeley St, Boston, MA 02116, United States']"
939,Uva Douglas Estates,Roxbury,2121,15,15,0,0.0,0.0,0.0,15,15,0.0,Rental,Private,,,Uva Douglas Estates Roxbury,[]
940,Valenchuck (VUP),Dorchester,2122,2,2,0,0.0,0.0,0.0,2,2,0.0,Rental,Private,,,Valenchuck (VUP) Dorchester,[]
941,Van Ness Terrace,Roxbury,2119,50,50,0,0.0,0.0,0.0,50,50,0.0,Rental,Private,,,Van Ness Terrace Roxbury,"['1325 Boylston St, Boston, MA 02215, United States']"
942,Vet Step Up,Roxbury,2121,10,10,0,0.0,0.0,0.0,10,10,0.0,Rental,Private,,,Vet Step Up Roxbury,"['350 S Huntington Ave, Boston, MA 02130, United States']"
943,Veterans Studios at Brighton Marine,Brighton,2135,25,25,0,0.0,0.0,0.0,25,25,0.0,Rental,Private,,,Veterans Studios at Brighton Marine Brighton,"['77 Warren St, Brighton, MA 02135, United States']"
944,VFW Parkway Condos,West Roxbury,2132,15,0,15,14.0,0.0,14.0,1,0,1.0,Ownership,Private,,,VFW Parkway Condos West Roxbury,"['1235 VFW Pkwy, West Roxbury, MA 02132, United States']"
945,Victoria Apartments,South End,2118,190,190,0,0.0,0.0,0.0,190,190,0.0,Rental,Private,,Y,Victoria Apartments South End,"['640 Tremont St, Boston, MA 02118, United States']"
946,Victory Gardens Plaza,East Boston,2128,87,87,0,0.0,0.0,0.0,87,87,0.0,Rental,Private,Y,Y,Victory Gardens Plaza East Boston,"['54 Orleans St # 1, East Boston, MA 02128, United States']"
947,Victory House,South End,2118,6,6,0,0.0,0.0,0.0,6,6,0.0,Rental,Private,,,Victory House South End,"['566 Chester Square, Boston, MA 02118, United States']"
948,Viet-AID,Dorchester,2122,6,6,0,0.0,0.0,0.0,6,6,0.0,Rental,Private,,,Viet-AID Dorchester,"['42 Charles St, Boston, MA 02122, United States']"
949,Villa Michelangelo,North End,2113,71,71,0,0.0,0.0,0.0,71,71,0.0,Rental,Private,Y,,Villa Michelangelo North End,"['1 Michelangelo St, Boston, MA 02113, United States']"
950,Village At Cleary Square,Hyde Park,2136,59,0,59,53.0,0.0,53.0,6,0,6.0,Ownership,Private,,,Village At Cleary Square Hyde Park,"['Stony Brook / Cleary Square, Boston, MA, USA']"
951,Vines (VUP) CDFI,Dorchester,2121,2,2,0,0.0,0.0,0.0,2,2,0.0,Rental,Private,,,Vines (VUP) CDFI Dorchester,"['The Schrafft Center, 529 Main St #201, Charlestown, MA 02129, United States']"
952,Viridian,Fenway,2215,350,350,0,312.0,312.0,0.0,38,38,0.0,Rental,Private,,,Viridian Fenway,"['1282 Boylston St, Boston, MA 02215, United States']"
953,VITA,Jamaica Plain,2130,126,0,126,107.0,0.0,107.0,19,0,19.0,Ownership,Private,,,VITA Jamaica Plain,"['3531 Washington St Suite 103, Jamaica Plain, MA 02130, United States']"
954,Viviendas Associates I,South End,2118,181,181,0,0.0,0.0,0.0,181,181,0.0,Rental,Private,,Y,Viviendas Associates I South End,"['781 Tremont St, Boston, MA 02118, United States']"
955,Viviendas La Victoria II,South End,2118,190,190,0,0.0,0.0,0.0,190,190,0.0,Rental,Private,,,Viviendas La Victoria II South End,[]
956,Wait Street,Mission Hill,2115,100,100,0,0.0,0.0,0.0,100,100,0.0,Rental,Private,Y,Y,Wait Street Mission Hill,"['Wait St, Boston, MA, USA']"
957,Walker Park Apartments,Roxbury,2130,49,49,0,0.0,0.0,0.0,49,49,0.0,Rental,Private,,,Walker Park Apartments Roxbury,"['1990 Columbus Ave, Boston, MA 02119, United States']"
958,Wallingford Housing,Brighton,2135,209,209,0,0.0,0.0,0.0,209,209,0.0,Rental,Private,Y,Y,Wallingford Housing Brighton,"['30 Wallingford Rd, Brighton, MA 02135, United States']"
959,Walnut Avenue Apartments (SPO),Jamaica Plain,2130,31,31,0,0.0,0.0,0.0,31,31,0.0,Rental,Private,,,Walnut Avenue Apartments (SPO) Jamaica Plain,"['3200 Washington St, Jamaica Plain, MA 02130, United States']"
960,Walnut Community Housing,Roxbury,2119,37,37,0,3.0,3.0,0.0,34,34,0.0,Rental,Private,Y,,Walnut Community Housing Roxbury,"['237 Walnut Ave, Boston, MA 02119, United States']"
961,Walnut House/Rogerson,Jamaica Plain,2119,37,37,0,0.0,0.0,0.0,37,37,0.0,Rental,Private,Y,,Walnut House/Rogerson Jamaica Plain,"['434 Jamaicaway, Boston, MA 02130, United States']"
962,Walter Baker Lofts,Mattapan,2124,13,13,0,0.0,0.0,0.0,13,13,0.0,Rental,Private,,,Walter Baker Lofts Mattapan,"['1231 Adams St, Boston, MA 02124, United States']"
963,Walter J. Martin Coop,South Boston,2127,34,34,0,0.0,0.0,0.0,34,34,0.0,Cooperative,Private,,,Walter J. Martin Coop South Boston,"['Boston, MA 02127, United States']"
964,Wardman Apts,Roxbury,2119,88,88,0,0.0,0.0,0.0,88,88,0.0,Rental,Private,,Y,Wardman Apts Roxbury,"['158 Walnut Ave, Boston, MA 02119, United States']"
965,Wareham Lofts,South End,2118,28,0,28,25.0,0.0,25.0,3,0,3.0,Ownership,Private,,,Wareham Lofts South End,"['90 Wareham St, Boston, MA 02118, United States']"
966,Warren Avenue Apts,South End,2116,30,30,0,1.0,1.0,0.0,29,29,0.0,Rental,Private,,Y,Warren Avenue Apts South End,"['781 Tremont St, Boston, MA 02118, United States']"
967,Warren Gardens Coop,Roxbury,2119,228,228,0,0.0,0.0,0.0,228,228,0.0,Cooperative,Private,,Y,Warren Gardens Coop Roxbury,"['45 Walnut Ave, Roxbury, MA 02119, United States']"
968,Warren Green Leasehold Condominiums,Charlestown,2129,17,0,17,15.0,0.0,15.0,2,0,2.0,Ownership,Private,,,Warren Green Leasehold Condominiums Charlestown,"['47 N Washington St #26, Charlestown, MA 02129, United States']"
969,Warren St Nursing Home,Roxbury,2121,9,9,0,0.0,0.0,0.0,9,9,0.0,Rental,Private,,,Warren St Nursing Home Roxbury,"['416 Warren St, Roxbury, MA 02119, United States']"
970,Washington Grove,West Roxbury,2132,24,0,24,21.0,0.0,21.0,3,0,3.0,Ownership/Rental,Private,,,Washington Grove West Roxbury,"['Washington St, Massachusetts, USA']"
971,"Washington Heights I, II",Roxbury,2119,175,175,0,0.0,0.0,0.0,175,175,0.0,Rental,Private,,Y,"Washington Heights I, II Roxbury","['86 Crawford St, Dorchester, MA 02121, United States']"
972,Washington Manor (2-44C),South End,2118,77,77,0,0.0,0.0,0.0,77,77,0.0,Rental,Public,Y,,Washington Manor (2-44C) South End,[]
973,Washington Mews,Dorchester,2124,20,20,0,0.0,0.0,0.0,20,20,0.0,Rental,Private,,,Washington Mews Dorchester,"['235 Old Colony Ave, Boston, MA 02127, United States']"
974,Washington Street (2-35),Brighton,2135,82,82,0,0.0,0.0,0.0,82,82,0.0,Rental,Public,Y,,Washington Street (2-35) Brighton,"['235 Washington St, Boston, MA 02135, USA']"
975,Washington-Beech (2-13),Roslindale,2131,206,206,0,0.0,0.0,0.0,206,206,0.0,Rental,Public/Private,,Y,Washington-Beech (2-13) Roslindale,"['4560 Washington St, Roslindale, MA 02131, United States']"
976,Waterford Place,South End,2118,40,40,0,14.0,14.0,0.0,26,26,0.0,Rental,Private,,,Waterford Place South End,"['180 Shawmut Ave, Boston, MA 02118, United States']"
977,Watermark Seaport Apartments,South Boston Waterfront,2210,346,346,0,301.0,301.0,0.0,45,45,0.0,Rental,Private,,,Watermark Seaport Apartments South Boston Waterfront,"['85 Seaport Blvd, Boston, MA 02210, United States']"
978,Waterside Place,South Boston Waterfront,2210,236,236,0,231.0,231.0,0.0,5,5,0.0,Rental,Private,,,Waterside Place South Boston Waterfront,"['505 Congress St, Boston, MA 02210, United States']"
979,Waterstone at the Circle,Brighton,2135,92,92,0,80.0,80.0,0.0,12,12,0.0,Rental,Private,?,,Waterstone at the Circle Brighton,"['385 Chestnut Hill Ave, Boston, MA 02135, United States']"
980,Waterview Apartments,South Boston,2127,49,49,0,0.0,0.0,0.0,49,49,0.0,Rental,Private,Y,Y,Waterview Apartments South Boston,"['1350 Columbia Rd, Boston, MA 02127, United States']"
981,Watson (VUP),Dorchester,2124,2,2,0,0.0,0.0,0.0,2,2,0.0,Rental,Private,,,Watson (VUP) Dorchester,[]
982,Waverly Abby - Bridge Over Troubled Waters,Brighton,2134,28,28,0,0.0,0.0,0.0,28,28,0.0,Rental,Private,,,Waverly Abby - Bridge Over Troubled Waters Brighton,"['47 West St, Boston, MA 02111, United States']"
983,Waverly Homes II,Roxbury,2125,9,2,7,0.0,0.0,0.0,9,2,7.0,Ownership/Rental,Private,,,Waverly Homes II Roxbury,"['2926 Washington St, Roxbury, MA 02119, United States']"
984,Wayland Street Homes,Roxbury,2125,6,0,6,0.0,0.0,0.0,6,0,6.0,Ownership,Private,,,Wayland Street Homes Roxbury,"['28 N Charlame Ct, Roxbury, MA 02119, United States']"
985,Wayne Apartments,Roxbury,2121,74,74,0,0.0,0.0,0.0,74,74,0.0,Rental,Private,,Y,Wayne Apartments Roxbury,"['757 Shawmut Ave, Roxbury, MA 02119, United States']"
986,Wayne at Bicknell,Dorchester,2121,72,72,0,0.0,0.0,0.0,72,72,0.0,Rental,Private,,Y,Wayne at Bicknell Dorchester,"['393 Centre St, Dorchester, MA 02122, United States']"
987,Wayne at Blue Hill,Mattapan,2126,48,48,0,0.0,0.0,0.0,48,48,0.0,Rental,Private,,Y,Wayne at Blue Hill Mattapan,"['Wayne St & Blue Hill Avenue, Boston, MA 02121, USA']"
988,Wayne at Columbia,Dorchester,2121,83,83,0,0.0,0.0,0.0,83,83,0.0,Rental,Private,,Y,Wayne at Columbia Dorchester,"['392 Columbia Rd #10, Dorchester, MA 02125, United States', '301 Columbia Rd, Dorchester, MA 02121, United States']"
989,Wayne at Franklin,Dorchester,2124,72,72,0,0.0,0.0,0.0,72,72,0.0,Rental,Private,,Y,Wayne at Franklin Dorchester,"['1 Shandon Rd, Dorchester Center, MA 02124, United States']"
990,Weld Park Apts,Roslindale,2131,14,14,0,0.0,0.0,0.0,14,14,0.0,Rental,Private,Y,Y,Weld Park Apts Roslindale,"['4236 Washington St, Boston, MA 02131, United States']"
991,Wellington Hill Phase I,Dorchester,2126,23,9,14,0.0,0.0,0.0,23,9,14.0,Ownership/Rental,Private,,,Wellington Hill Phase I Dorchester,"['Wellington Hill, Boston, MA, USA']"
992,Wellington Hill Phase II,Mattapan,2126,8,3,5,0.0,0.0,0.0,8,3,5.0,Ownership/Rental,Private,,,Wellington Hill Phase II Mattapan,"['45 Wellington Hill St, Mattapan, MA 02126, United States']"
993,Welsh (VUP),Brighton,2135,1,1,0,0.0,0.0,0.0,1,1,0.0,Rental,Private,,,Welsh (VUP) Brighton,"['Moel Fammau Rd, New Brighton, Mold CH7 6QX, United Kingdom']"
994,West Broadway/D St (200-1),South Boston,2127,484,484,0,0.0,0.0,0.0,484,484,0.0,Rental,Public,,,West Broadway/D St (200-1) South Boston,"['200 D St, Boston, MA 02127, USA']"
995,West Cottage St Condominiums,Roxbury,2125,4,0,4,0.0,0.0,0.0,4,0,4.0,Ownership,Private,,,West Cottage St Condominiums Roxbury,"['10 Taber St, Boston, MA 02119, United States']"
996,West Fenway Elderly,South End,2118,5,5,0,0.0,0.0,0.0,5,5,0.0,Rental,Private,Y,,West Fenway Elderly South End,"['110 Peterborough St, Boston, MA 02215, United States']"
997,West Newton Street (2-58),South End,2118,149,149,0,0.0,0.0,0.0,149,149,0.0,Rental,Public,,,West Newton Street (2-58) South End,"['258 W Newton St, Boston, MA 02116, USA']"
998,West Ninth Street (2-36),South Boston,2127,84,84,0,1.0,1.0,0.0,83,83,0.0,Rental,Public,Y,,West Ninth Street (2-36) South Boston,"['236 W 9th St, Boston, MA 02127, USA']"
999,West Roxbury Residences,West Roxbury,2132,4,4,0,0.0,0.0,0.0,4,4,0.0,Rental,Private,,,West Roxbury Residences West Roxbury,"['1235 VFW Pkwy, West Roxbury, MA 02132, United States']"
1000,West Square,South Boston,2127,255,255,0,222.0,222.0,0.0,33,33,0.0,Rental,Private,,,West Square South Boston,"['320 D St, Boston, MA 02127, United States']"
1001,Westland Avenue Apartments,Fenway,2115,96,96,0,35.0,35.0,0.0,61,61,0.0,Rental,Private,Y,Y,Westland Avenue Apartments Fenway,"['66 Westland Ave # 205, Boston, MA 02115, United States']"
1002,Westminster 21 (Urban Edge),Roxbury,2119,5,0,5,0.0,0.0,0.0,5,0,5.0,Ownership,Private,,,Westminster 21 (Urban Edge) Roxbury,"['1542 Columbus Ave, Roxbury, MA 02119, United States', '65 Westminster Ave, Roxbury, MA 02119, United States']"
1003,Westminster Court,Roxbury,2119,70,70,0,0.0,0.0,0.0,70,70,0.0,Rental,Private,,,Westminster Court Roxbury,"['Westminster Ct, Boston, MA 02119, USA']"
1004,Whittier Street Apartments (2-11),Roxbury,2120,144,144,0,16.0,16.0,0.0,128,128,0.0,Rental,Public/Private,,,Whittier Street Apartments (2-11) Roxbury,"['1158 Tremont St, Boston, MA 02120, United States']"
1005,Whittier/Lyndhurst/Washington,Dorchester,2124,44,44,0,0.0,0.0,0.0,44,44,0.0,Rental,Private,,,Whittier/Lyndhurst/Washington Dorchester,"['587 Washington St, Dorchester Center, MA 02124, United States']"
1006,Wilder Gardens,Dorchester,2121,61,61,0,0.0,0.0,0.0,61,61,0.0,Rental,Private,,Y,Wilder Gardens Dorchester,"['65 Winston Rd, Boston, MA 02124, United States']"
1007,Wilkes Passage Loft Condominium,South End,2118,155,0,155,135.0,0.0,135.0,20,0,20.0,Ownership,Private,,,Wilkes Passage Loft Condominium South End,"['1313 Washington St, Boston, MA 02118, United States']"
1008,Williams (VUP),Roxbury,2119,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,,Williams (VUP) Roxbury,"['285 M.L.K. Jr Blvd, Roxbury, MA 02119, United States']"
1009,Willowwood|Hildreth NHI,Dorchester,2124,8,4,4,0.0,0.0,0.0,8,4,4.0,Ownership/Rental,Private,,,Willowwood|Hildreth NHI Dorchester,"['Willowwood St, Boston, MA 02124, USA', 'Hildreth St, Boston, MA 02124, USA']"
1010,Wilshire Apartments,Roxbury,2121,29,29,0,0.0,0.0,0.0,29,29,0.0,Rental,Private,,Y,Wilshire Apartments Roxbury,"['Cheney St, Boston, MA 02121, United States']"
1011,Winslow Court,Roxbury,2119,24,5,19,0.0,0.0,0.0,24,5,19.0,Ownership/Rental,Private,,,Winslow Court Roxbury,"['Winslow St, Boston, MA 02119, USA']"
1012,Winston/Harwood (689-?),Dorchester,2124,10,0,10,0.0,0.0,0.0,10,0,10.0,Ownership,Public,,,Winston/Harwood (689-?) Dorchester,"['Harwood St, Boston, MA 02124, USA']"
1013,Wood (VUP),Dorchester,2124,1,1,0,0.0,0.0,0.0,1,1,0.0,Rental,Private,,,Wood (VUP) Dorchester,"['35 Westville St, Boston, MA 02124, United States']"
1014,Woodbourne Elderly Apts,Jamaica Plain,2130,76,76,0,1.0,1.0,0.0,75,75,0.0,Rental,Private,Y,Y,Woodbourne Elderly Apts Jamaica Plain,"['6 Southbourne Rd #4208, Jamaica Plain, MA 02130, United States']"
1015,Woodbury Cunard Building,East Boston,2128,17,17,0,0.0,0.0,0.0,17,17,0.0,Rental,Private,Y,,Woodbury Cunard Building East Boston,[]
1016,Woodledge/Granfield,Roslindale,2131,6,6,0,0.0,0.0,0.0,6,6,0.0,Rental,Private,,,Woodledge/Granfield Roslindale,"['Granfield Ave, Boston, MA 02131, USA']"
1017,Woodward Park - North - Home Again,Roxbury,2125,10,0,10,0.0,0.0,0.0,10,0,10.0,Ownership,Private,,,Woodward Park - North - Home Again Roxbury,"['Woodward Park St, Boston, MA 02125, USA']"
1018,Woodward Park II - HOME AGAIN,Roxbury,2125,11,0,11,0.0,0.0,0.0,11,0,11.0,Ownership,Private,,,Woodward Park II - HOME AGAIN Roxbury,"['1592 Columbus Ave, Roxbury, MA 02119, United States']"
1019,Worcester House,Back Bay,2116,16,16,0,0.0,0.0,0.0,16,16,0.0,Rental,Private,,,Worcester House Back Bay,"['1121 Grafton St #2029, Worcester, MA 01604, United States']"
